news,fakeness
Many congratulations to Sreedhanya! Sreedhanya is the first person from a tribal community in Wayanad to clear the? https://t.co/HQ1KVfWWkJ,1
An incredible amount of love &amp; support shown for Smt. @priyankagandhi's &amp; Congress candidate Smt. Dolly Sharma's ro? https://t.co/sD4AcI6GSk,1
Government today has given up its responsibility for healthcare and education. We will put in more money into these? https://t.co/TWvDGcwN27,1
I want to guarantee you that money for NYAY will not come from middle class and income tax will not be raised. The? https://t.co/Ds2N9NwI2U,1
Congress Central Election Committee announces candidates for ensuing elections to the Lok Sabha from Jharkhand and? https://t.co/GBWzEglczi,1
"Association of Billion Minds, run by 1 sinister mind - Amit Shah - created in 2014 as a Women's NGO, quickly became? https://t.co/3X2Nl5rVwx",1
"When our Airforce attacked Pakistan, @narendramodi claims he did it and insults our armed forces : Congress Preside? https://t.co/qD6SKXSpvU",1
@narendramodi does not have a place in his heart for the marginalised. It is time for the government to clearly sta? https://t.co/FY9JnY2whP,1
"In 2014, he made several promises to youth and farmers. Few days ago, when PM @narendramodi visited Wardha, did he? https://t.co/Tmhh8PHziy",1
"LIVE: Congress President @RahulGandhi addresses public meeting in Wardha, Maharashtra. #AmchaRahulGandhi https://t.co/v5UjwDJErh",1
"Modi government is misleading our farmers by saying there is no money for loan waivers, whereas Anil Ambani gets ?3? https://t.co/WhwlM0gczR",1
Chowkidar Modi has only served the interests of his industrialist friends. Contract for 6 airports were given to Ad? https://t.co/ooOimfQRC6,1
"Women of the families will receive ?72,000 annually under NYAY scheme. We are doing this because Modi govt has give? https://t.co/V7FHmhAS70",1
"LIVE: Congress President @RahulGandhi addresses public meeting in Chandrapur, Maharashtra. #AmchaRahulGandhi https://t.co/CyIVdm5JjI",1
"RT @RahulGandhi: Hatred is cowardice. 

I don?t care if the entire world is full of hatred. I am not a coward. 

I will not hide behind hat?",1
RT @INCSandesh: Press statement by @rssurjewala on misuse of Enforcement Directorate by Modi government. https://t.co/O0l6B8QkPO,1
"RT @INCSandesh: INC COMMUNIQUE

Press release by @rssurjewala, I/C, AICC Communications, on Shri L K Advani's stinging indictment to Modi-S?",1
We should identify and respect the skills in India and target it with finances and political support: Congress Pres? https://t.co/bDhWspz4Iw,1
Government today has given up its responsibility for healthcare and education. We will put in more money into these? https://t.co/Wzz3eqqVa0,1
"Unfortunately, Demonetisation was a disastrous idea. Millions of jobs were lost and economy was jammed shut. We wan? https://t.co/Wj99zAu045",1
I want to guarantee you that money for NYAY will not come from middle class and income tax will not be raised. The? https://t.co/8BpXTuTPHI,1
"Our manifesto is not an expression of the Congress party, it is an expression from all the stakeholders of the coun? https://t.co/IETB4BVrGW",1
"RT @INCIndiaLive: LIVE: Press briefing by @rssurjewala, I/C, AICC Communications. https://t.co/RoXm0toHrG",1
